controller,scenario,metric,higher_is_better,value,value_std,n,run_id
FLC,actuator_saturation_challenge,abs_err_p50,False,407.31709294536495,0.0,3,multi_seed
FLC,actuator_saturation_challenge,abs_err_p90,False,1114.5799681480353,0.0,3,multi_seed
FLC,actuator_saturation_challenge,abs_err_p95,False,1204.91304924079,0.0,3,multi_seed
FLC,actuator_saturation_challenge,arrhenius_exposure,False,3.98423614716816e-14,0.0,3,multi_seed
FLC,actuator_saturation_challenge,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,actuator_saturation_challenge,coherence_lowmid,True,,,0,multi_seed
FLC,actuator_saturation_challenge,cvar_abs_err,False,1293.1676187857931,0.0,3,multi_seed
FLC,actuator_saturation_challenge,effort_l1,False,0.1452907139497929,0.0,3,multi_seed
FLC,actuator_saturation_challenge,effort_l2,False,0.0932300111596755,0.0,3,multi_seed
FLC,actuator_saturation_challenge,glfi,True,0.8347695580977373,0.0,3,multi_seed
FLC,actuator_saturation_challenge,iae_abs_err,False,177.5193734035221,0.0,3,multi_seed
FLC,actuator_saturation_challenge,itae_abs_err,False,44.92710733056985,0.0,3,multi_seed
FLC,actuator_saturation_challenge,jerk_l2,False,3.3537661184850287,0.0,3,multi_seed
FLC,actuator_saturation_challenge,log_decrement,False,,,0,multi_seed
FLC,actuator_saturation_challenge,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,max_freq_deviation_hz,False,1.0559196472167969,0.0,3,multi_seed
FLC,actuator_saturation_challenge,max_rocof_hz_s,False,7.66868591308593,0.0,3,multi_seed
FLC,actuator_saturation_challenge,overshoot_pct,False,0.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,reversal_count,False,0.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,rmse_error,False,659.2769623974615,0.0,3,multi_seed
FLC,actuator_saturation_challenge,safety_margin_min,True,-0.0559196472167968,0.0,3,multi_seed
FLC,actuator_saturation_challenge,saturation_events,False,0.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,settling_time_s,False,,,0,multi_seed
FLC,actuator_saturation_challenge,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,stability_flag,True,1.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,actuator_saturation_challenge,time_out_of_band_s,False,0.02,0.0,3,multi_seed
