controller,scenario,psd_bandpower_error,psd_bandpower_control,noise_amplification,damping_ratio,natural_frequency,tags,seed
PID,actuator_saturation_challenge,0.0,0.0,8.312171120249498e-07,,,saturation|stress_test,42
PID,baseline_steady_state,0.0,0.0,8.939755624512695e-07,,,baseline,42
PID,cascading_grid_fault_and_recovery,0.0,0.0,8.939755624512695e-07,,,adversarial|fault,42
PID,combined_challenge_final_exam,0.0,0.0,8.939755624512695e-07,,,adversarial|compound,42
PID,deceptive_sensor_noise,0.0,0.0,1.6480826821424106e-06,,,adversarial|noise,42
PID,gradual_load_increase_10pct,0.0,0.0,1.6480826821424106e-06,,,ramp|validation,42
PID,multisine_frequency_probe,0.0,0.0,1.0060253956680382e-06,,,multisine|frequency_probe,42
PID,parameter_randomization_drills,0.0,0.0,9.05742692173721e-07,,,adversarial|randomization,42
PID,prbs_excitation_probe,0.0,0.0,5.554148597908823e-07,-0.0653059831370173,74.0779624229989,prbs|frequency_probe,42
PID,steady_state_efficiency_probe,0.0,0.0,8.939755624512695e-07,,,efficiency|validation,42
PID,sudden_load_increase_5pct,0.0,0.0,8.939755624512695e-07,,,step,42
FLC,actuator_saturation_challenge,0.0,0.0,5.652804448547395e-07,,,saturation|stress_test,42
FLC,baseline_steady_state,0.0,0.0,5.208596271276029e-07,,,baseline,42
FLC,cascading_grid_fault_and_recovery,0.0,0.0,5.208596271276029e-07,,,adversarial|fault,42
FLC,combined_challenge_final_exam,0.0,0.0,5.208596271276029e-07,,,adversarial|compound,42
FLC,deceptive_sensor_noise,0.0,0.0,4.834307161829856e-07,,,adversarial|noise,42
FLC,gradual_load_increase_10pct,0.0,0.0,4.834307161829856e-07,,,ramp|validation,42
FLC,multisine_frequency_probe,0.0,0.0,4.981666193452659e-07,,,multisine|frequency_probe,42
FLC,parameter_randomization_drills,0.0,0.0,5.309509636037914e-07,,,adversarial|randomization,42
FLC,prbs_excitation_probe,0.0,0.0,3.533573860837118e-07,-0.0952514633032088,74.25745776892298,prbs|frequency_probe,42
FLC,steady_state_efficiency_probe,0.0,0.0,5.208596271276029e-07,,,efficiency|validation,42
FLC,sudden_load_increase_5pct,0.0,0.0,5.208596271276029e-07,,,step,42
RL,actuator_saturation_challenge,0.0,0.0,1.2538975233845496e-06,,,saturation|stress_test,42
RL,baseline_steady_state,0.0,0.0,1.5001769243105924e-06,,,baseline,42
RL,cascading_grid_fault_and_recovery,0.0,0.0,1.5001769243105924e-06,,,adversarial|fault,42
RL,combined_challenge_final_exam,0.0,0.0,1.5001769243105924e-06,,,adversarial|compound,42
RL,deceptive_sensor_noise,0.0,0.0,5.713625600351825e-07,,,adversarial|noise,42
RL,gradual_load_increase_10pct,0.0,0.0,5.713625600351825e-07,,,ramp|validation,42
RL,multisine_frequency_probe,0.0,0.0,1.1331402074434068e-06,,,multisine|frequency_probe,42
RL,parameter_randomization_drills,0.0,0.0,1.0791270761508243e-06,,,adversarial|randomization,42
RL,prbs_excitation_probe,0.0,0.0,8.216494657378143e-07,-0.1027465042454801,70.18461703909028,prbs|frequency_probe,42
RL,steady_state_efficiency_probe,0.0,0.0,1.5001769243105924e-06,,,efficiency|validation,42
RL,sudden_load_increase_5pct,0.0,0.0,1.5001769243105924e-06,,,step,42
PID,actuator_saturation_challenge,0.0,0.0,8.312171120249498e-07,,,saturation|stress_test,101
PID,baseline_steady_state,0.0,0.0,8.939755624512695e-07,,,baseline,101
PID,cascading_grid_fault_and_recovery,0.0,0.0,8.939755624512695e-07,,,adversarial|fault,101
PID,combined_challenge_final_exam,0.0,0.0,8.939755624512695e-07,,,adversarial|compound,101
PID,deceptive_sensor_noise,0.0,0.0,1.6480826821424106e-06,,,adversarial|noise,101
PID,gradual_load_increase_10pct,0.0,0.0,1.6480826821424106e-06,,,ramp|validation,101
PID,multisine_frequency_probe,0.0,0.0,1.0060253956680382e-06,,,multisine|frequency_probe,101
PID,parameter_randomization_drills,0.0,0.0,1.2136835605413788e-06,,,adversarial|randomization,101
PID,prbs_excitation_probe,0.0,0.0,5.554148597908823e-07,-0.0653059831370173,74.0779624229989,prbs|frequency_probe,101
PID,steady_state_efficiency_probe,0.0,0.0,8.939755624512695e-07,,,efficiency|validation,101
PID,sudden_load_increase_5pct,0.0,0.0,8.939755624512695e-07,,,step,101
FLC,actuator_saturation_challenge,0.0,0.0,5.652804448547395e-07,,,saturation|stress_test,101
FLC,baseline_steady_state,0.0,0.0,5.208596271276029e-07,,,baseline,101
FLC,cascading_grid_fault_and_recovery,0.0,0.0,5.208596271276029e-07,,,adversarial|fault,101
FLC,combined_challenge_final_exam,0.0,0.0,5.208596271276029e-07,,,adversarial|compound,101
FLC,deceptive_sensor_noise,0.0,0.0,4.834307161829856e-07,,,adversarial|noise,101
FLC,gradual_load_increase_10pct,0.0,0.0,4.834307161829856e-07,,,ramp|validation,101
FLC,multisine_frequency_probe,0.0,0.0,4.981666193452659e-07,,,multisine|frequency_probe,101
FLC,parameter_randomization_drills,0.0,0.0,4.975387725880806e-07,,,adversarial|randomization,101
FLC,prbs_excitation_probe,0.0,0.0,3.533573860837118e-07,-0.0952514633032088,74.25745776892298,prbs|frequency_probe,101
FLC,steady_state_efficiency_probe,0.0,0.0,5.208596271276029e-07,,,efficiency|validation,101
FLC,sudden_load_increase_5pct,0.0,0.0,5.208596271276029e-07,,,step,101
RL,actuator_saturation_challenge,0.0,0.0,1.2538975233845496e-06,,,saturation|stress_test,101
RL,baseline_steady_state,0.0,0.0,1.5001769243105924e-06,,,baseline,101
RL,cascading_grid_fault_and_recovery,0.0,0.0,1.5001769243105924e-06,,,adversarial|fault,101
RL,combined_challenge_final_exam,0.0,0.0,1.5001769243105924e-06,,,adversarial|compound,101
RL,deceptive_sensor_noise,0.0,0.0,5.713625600351825e-07,,,adversarial|noise,101
RL,gradual_load_increase_10pct,0.0,0.0,5.713625600351825e-07,,,ramp|validation,101
RL,multisine_frequency_probe,0.0,0.0,1.1331402074434068e-06,,,multisine|frequency_probe,101
RL,parameter_randomization_drills,0.0,0.0,8.066807024485291e-07,,,adversarial|randomization,101
RL,prbs_excitation_probe,0.0,0.0,8.216494657378143e-07,-0.1027465042454801,70.18461703909028,prbs|frequency_probe,101
RL,steady_state_efficiency_probe,0.0,0.0,1.5001769243105924e-06,,,efficiency|validation,101
RL,sudden_load_increase_5pct,0.0,0.0,1.5001769243105924e-06,,,step,101
PID,actuator_saturation_challenge,0.0,0.0,8.312171120249498e-07,,,saturation|stress_test,102
PID,baseline_steady_state,0.0,0.0,8.939755624512695e-07,,,baseline,102
PID,cascading_grid_fault_and_recovery,0.0,0.0,8.939755624512695e-07,,,adversarial|fault,102
PID,combined_challenge_final_exam,0.0,0.0,8.939755624512695e-07,,,adversarial|compound,102
PID,deceptive_sensor_noise,0.0,0.0,1.6480826821424106e-06,,,adversarial|noise,102
PID,gradual_load_increase_10pct,0.0,0.0,1.6480826821424106e-06,,,ramp|validation,102
PID,multisine_frequency_probe,0.0,0.0,1.0060253956680382e-06,,,multisine|frequency_probe,102
PID,parameter_randomization_drills,0.0,0.0,1.0452154707743825e-06,,,adversarial|randomization,102
PID,prbs_excitation_probe,0.0,0.0,5.554148597908823e-07,-0.0653059831370173,74.0779624229989,prbs|frequency_probe,102
